Country_code,Country,Year_decision,Year_first_decision,Year_target,Target_minimum,Target_maximum,Target_average,Target_consistent,Unit,Target_type,RE_technology,Miscellaneous,Source,added_in_version,change_reason,status,status_changed_in_version
BLZ,Belize,2021,2013,2030,,75.0,75.0,75.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
BEN,Benin,2011,2011,2025,,50.0,50.0,50.0,Percent,Electricity ,All technologies,Only rural,https://www.ren21.net/wp-content/uploads/2019/05/GSR2012_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
BEN,Benin,2017,2017,2025,,25.0,25.0,25.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
BTN,Bhutan,2016,2016,2050,,100.0,100.0,100.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
BTN,Bhutan,2020,2020,2050,,100.0,100.0,100.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
BOL,Bolivia (Plurinational State of),2015,2015,2030,,79.0,79.0,79.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
BOL,Bolivia (Plurinational State of),2022,2015,2025,,80.0,80.0,80.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf,V3,New non-EU-27 observation added in V3,active,V3
BIH,Bosnia And Herzegovina,2020,2020,2030,,57.0,57.0,57.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
BIH,Bosnia and Herzegovina,2012,2012,2020,,40.0,40.0,40.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
BWA,Botswana,2010,2010,2016,,1.0,1.0,1.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2011_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
BWA,Botswana,2023,2010,2036,,50.0,50.0,50.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf,V3,New non-EU-27 observation added in V3,active,V3
BRA,Brazil,2009,2009,2020,,75.0,75.0,75.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2010_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
BRA,Brazil,2015,2009,2030,,23.0,23.0,23.0,Percent,Electricity ,All technologies except hydro,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
BRA,Brazil,2022,2009,2030,,45.0,45.0,45.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf,V3,New non-EU-27 observation added in V3,active,V3
BRA,Brazil,2015,2015,2030,,45.0,45.0,45.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
